canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
196,217,491,13,50,11,84,0.8842105263157894,0.8484848484848485,0.865979381443299
221,225,413,12,50,8,87,0.9157894736842105,0.8787878787878788,0.8969072164948454
240,187,397,12,105,15,92,0.8598130841121495,0.9292929292929293,0.8932038834951457
199,241,411,12,50,11,90,0.8910891089108911,0.9090909090909091,0.9
194,500,50,1,500,4,43,0.9148936170212766,0.43434343434343436,0.589041095890411
50,500,50,50,50,114,97,0.4597156398104265,0.9797979797979798,0.6258064516129033
285,50,500,35,500,89,88,0.4971751412429379,0.8888888888888888,0.6376811594202898
294,108,359,9,50,17,92,0.8440366972477065,0.9292929292929293,0.8846153846153846
210,230,415,13,50,13,89,0.8725490196078431,0.898989898989899,0.8855721393034826
270,157,418,10,50,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
216,288,239,50,50,114,99,0.4647887323943662,1.0,0.6346153846153846
261,163,419,10,50,10,88,0.8979591836734694,0.8888888888888888,0.8934010152284263
237,187,407,11,50,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
50,500,50,28,50,114,97,0.4597156398104265,0.9797979797979798,0.6258064516129033
233,189,396,10,50,9,89,0.9081632653061225,0.898989898989899,0.9035532994923858
236,188,404,11,50,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
235,186,402,11,50,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
235,187,404,11,50,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
234,186,402,11,50,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
239,191,419,11,50,7,86,0.9247311827956989,0.8686868686868687,0.8958333333333334
242,170,385,11,50,15,91,0.8584905660377359,0.9191919191919192,0.8878048780487805
229,500,500,34,50,14,59,0.8082191780821918,0.5959595959595959,0.686046511627907
224,211,406,11,50,5,86,0.945054945054945,0.8686868686868687,0.9052631578947369
224,209,408,11,50,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
220,212,403,10,50,6,84,0.9333333333333333,0.8484848484848485,0.888888888888889
244,199,428,11,50,5,85,0.9444444444444444,0.8585858585858586,0.8994708994708994
239,200,421,11,50,6,84,0.9333333333333333,0.8484848484848485,0.888888888888889
225,197,400,11,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
222,197,392,11,50,10,90,0.9,0.9090909090909091,0.9045226130653266
221,195,398,11,50,10,90,0.9,0.9090909090909091,0.9045226130653266
221,195,401,11,50,10,89,0.898989898989899,0.898989898989899,0.898989898989899
228,205,395,11,50,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
