canny_threshold1,canny_threshold2,min_line_length,max_line_gap,hough_threshold,false_positives,true_positives,precision,recall,f1_score
220,215,361,10,109,10,91,0.900990099009901,0.9191919191919192,0.91
219,216,362,10,108,10,89,0.898989898989899,0.898989898989899,0.898989898989899
219,215,364,10,106,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
219,215,363,10,107,6,92,0.9387755102040817,0.9292929292929293,0.934010152284264
220,215,362,10,109,9,91,0.91,0.9191919191919192,0.9145728643216081
219,215,363,10,109,9,93,0.9117647058823529,0.9393939393939394,0.9253731343283583
219,215,362,10,110,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
191,108,63,40,54,114,99,0.4647887323943662,1.0,0.6346153846153846
220,215,362,10,110,9,91,0.91,0.9191919191919192,0.9145728643216081
61,204,351,11,59,68,98,0.5903614457831325,0.98989898989899,0.739622641509434
217,217,362,10,110,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
218,216,363,10,109,9,91,0.91,0.9191919191919192,0.9145728643216081
218,215,363,10,109,9,93,0.9117647058823529,0.9393939393939394,0.9253731343283583
218,216,362,10,109,10,91,0.900990099009901,0.9191919191919192,0.91
336,167,499,50,92,107,92,0.4623115577889447,0.9292929292929293,0.6174496644295302
497,67,205,24,474,24,57,0.7037037037037037,0.5757575757575758,0.6333333333333334
386,60,73,12,465,73,79,0.5197368421052632,0.797979797979798,0.6294820717131474
222,209,357,9,113,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
52,260,495,24,492,83,90,0.5202312138728323,0.9090909090909091,0.6617647058823529
218,214,363,10,109,9,93,0.9117647058823529,0.9393939393939394,0.9253731343283583
218,214,362,10,110,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
218,213,362,10,111,11,92,0.8932038834951457,0.9292929292929293,0.9108910891089108
493,282,58,13,67,113,90,0.4433497536945813,0.9090909090909091,0.5960264900662252
219,212,362,10,110,10,90,0.9,0.9090909090909091,0.9045226130653266
218,215,365,10,108,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
217,215,365,10,108,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
59,494,240,30,382,45,66,0.5945945945945946,0.6666666666666666,0.6285714285714286
217,216,365,10,108,6,90,0.9375,0.9090909090909091,0.923076923076923
216,217,366,10,108,5,90,0.9473684210526315,0.9090909090909091,0.9278350515463918
215,218,366,10,109,8,92,0.92,0.9292929292929293,0.9246231155778895
214,219,367,10,109,8,92,0.92,0.9292929292929293,0.9246231155778895
213,220,367,10,110,9,91,0.91,0.9191919191919192,0.9145728643216081
214,220,367,10,109,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
213,220,367,10,109,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
213,221,367,10,110,9,91,0.91,0.9191919191919192,0.9145728643216081
223,382,487,38,490,16,63,0.7974683544303798,0.6363636363636364,0.7078651685393258
500,55,462,2,463,1,19,0.95,0.1919191919191919,0.319327731092437
217,216,369,10,110,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
218,215,367,10,110,8,92,0.92,0.9292929292929293,0.9246231155778895
217,215,368,10,110,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
217,216,369,10,111,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
217,215,368,10,111,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
217,216,369,10,112,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
216,216,369,10,112,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
499,252,109,1,74,46,52,0.5306122448979592,0.5252525252525253,0.5279187817258884
217,214,369,10,112,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
217,215,369,10,112,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
218,214,368,10,112,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
217,216,368,10,110,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
222,210,363,10,112,10,94,0.9038461538461539,0.9494949494949495,0.9261083743842364
224,208,361,9,114,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
214,222,367,10,108,10,90,0.9,0.9090909090909091,0.9045226130653266
223,210,361,10,110,9,93,0.9117647058823529,0.9393939393939394,0.9253731343283583
224,209,360,10,111,10,91,0.900990099009901,0.9191919191919192,0.91
223,210,362,10,110,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
223,210,361,10,111,9,91,0.91,0.9191919191919192,0.9145728643216081
202,342,331,9,211,10,86,0.8958333333333334,0.8686868686868687,0.8820512820512821
209,242,359,10,115,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
209,242,359,10,116,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
210,239,360,10,114,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
211,237,360,10,113,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
213,233,363,10,110,10,88,0.8979591836734694,0.8888888888888888,0.8934010152284263
216,227,366,10,107,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
216,229,366,10,108,8,92,0.92,0.9292929292929293,0.9246231155778895
215,230,366,10,108,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
216,228,366,10,108,8,92,0.92,0.9292929292929293,0.9246231155778895
60,91,205,50,498,113,99,0.4669811320754717,1.0,0.6366559485530546
226,293,66,27,495,31,72,0.6990291262135923,0.7272727272727273,0.712871287128713
217,229,364,10,108,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
217,230,364,10,108,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
216,232,363,10,109,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
366,152,498,15,203,9,79,0.8977272727272727,0.797979797979798,0.8449197860962567
217,230,365,10,107,8,86,0.9148936170212766,0.8686868686868687,0.8911917098445595
219,224,366,10,106,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
197,460,279,12,442,9,64,0.8767123287671232,0.6464646464646465,0.7441860465116279
220,223,366,10,106,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
497,113,322,15,87,23,74,0.7628865979381443,0.7474747474747475,0.7551020408163266
223,222,365,10,104,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
222,222,366,10,104,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
221,223,367,10,104,6,90,0.9375,0.9090909090909091,0.923076923076923
222,223,367,10,104,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
221,223,368,10,104,6,90,0.9375,0.9090909090909091,0.923076923076923
287,313,54,37,498,14,58,0.8055555555555556,0.5858585858585859,0.6783625730994152
223,222,364,10,104,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
220,223,369,10,104,6,90,0.9375,0.9090909090909091,0.923076923076923
344,194,221,9,216,43,93,0.6838235294117647,0.9393939393939394,0.7914893617021277
219,224,371,10,105,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
219,223,370,10,105,7,87,0.925531914893617,0.8787878787878788,0.9015544041450778
219,222,369,10,105,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
219,222,368,10,105,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
51,53,69,23,61,114,99,0.4647887323943662,1.0,0.6346153846153846
216,223,370,10,106,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
149,340,322,9,74,13,89,0.8725490196078431,0.898989898989899,0.8855721393034826
205,238,360,9,105,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
206,235,361,9,105,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
228,204,367,10,110,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
229,202,367,10,111,10,91,0.900990099009901,0.9191919191919192,0.91
174,466,281,8,63,9,69,0.8846153846153846,0.696969696969697,0.7796610169491526
227,205,368,10,109,8,87,0.9157894736842105,0.8787878787878788,0.8969072164948454
207,235,360,10,103,8,94,0.9215686274509803,0.9494949494949495,0.9353233830845771
205,241,358,10,104,7,93,0.93,0.9393939393939394,0.9346733668341709
202,246,356,10,106,13,93,0.8773584905660378,0.9393939393939394,0.9073170731707318
204,243,358,10,105,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
203,243,357,10,105,9,91,0.91,0.9191919191919192,0.9145728643216081
498,260,468,50,495,3,38,0.926829268292683,0.3838383838383838,0.5428571428571428
500,68,340,50,70,109,78,0.41711229946524064,0.7878787878787878,0.5454545454545454
500,68,340,50,70,109,78,0.41711229946524064,0.7878787878787878,0.5454545454545454
166,298,500,12,275,3,78,0.9629629629629629,0.7878787878787878,0.8666666666666665
196,256,382,10,121,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
198,252,381,10,119,9,87,0.90625,0.8787878787878788,0.8923076923076922
208,233,378,10,114,11,86,0.8865979381443299,0.8686868686868687,0.8775510204081632
216,222,375,10,109,6,88,0.9361702127659575,0.8888888888888888,0.9119170984455959
216,221,374,10,108,6,91,0.9381443298969072,0.9191919191919192,0.9285714285714285
216,222,376,10,109,6,88,0.9361702127659575,0.8888888888888888,0.9119170984455959
216,221,375,10,109,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
288,187,494,12,338,5,77,0.9390243902439024,0.7777777777777778,0.8508287292817679
217,220,375,10,109,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
212,232,354,9,105,9,91,0.91,0.9191919191919192,0.9145728643216081
218,219,373,10,108,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
218,219,374,10,108,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
294,324,495,15,494,2,49,0.9607843137254902,0.494949494949495,0.6533333333333333
219,210,375,10,113,11,90,0.8910891089108911,0.9090909090909091,0.9
210,231,352,9,105,13,87,0.87,0.8787878787878788,0.8743718592964824
226,206,375,10,110,8,85,0.9139784946236559,0.8585858585858586,0.8854166666666665
215,223,376,10,104,7,87,0.925531914893617,0.8787878787878788,0.9015544041450778
223,215,371,10,101,8,87,0.9157894736842105,0.8787878787878788,0.8969072164948454
212,232,352,10,97,11,89,0.89,0.898989898989899,0.8944723618090452
217,216,376,10,104,7,88,0.9263157894736842,0.8888888888888888,0.9072164948453608
218,216,375,10,103,6,88,0.9361702127659575,0.8888888888888888,0.9119170984455959
218,216,374,10,103,6,88,0.9361702127659575,0.8888888888888888,0.9119170984455959
222,212,371,10,102,8,85,0.9139784946236559,0.8585858585858586,0.8854166666666665
205,237,365,10,98,11,91,0.8921568627450981,0.9191919191919192,0.9054726368159205
217,227,351,10,93,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
216,227,351,10,93,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
216,227,351,9,93,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
215,228,350,9,94,9,91,0.91,0.9191919191919192,0.9145728643216081
216,228,350,9,94,8,86,0.9148936170212766,0.8686868686868687,0.8911917098445595
212,223,374,10,100,10,89,0.898989898989899,0.898989898989899,0.898989898989899
226,213,362,10,93,11,91,0.8921568627450981,0.9191919191919192,0.9054726368159205
224,211,367,10,97,9,91,0.91,0.9191919191919192,0.9145728643216081
210,226,372,10,99,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
225,212,362,10,93,9,89,0.9081632653061225,0.898989898989899,0.9035532994923858
207,230,369,10,98,7,86,0.9247311827956989,0.8686868686868687,0.8958333333333334
226,209,364,10,96,9,89,0.9081632653061225,0.898989898989899,0.9035532994923858
222,219,355,10,88,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
221,221,353,10,89,12,92,0.8846153846153846,0.9292929292929293,0.9064039408866995
221,210,370,10,100,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
214,219,372,10,99,11,89,0.89,0.898989898989899,0.8944723618090452
216,226,350,9,89,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
221,220,354,10,86,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
219,223,351,9,87,8,92,0.92,0.9292929292929293,0.9246231155778895
218,224,349,9,88,11,89,0.89,0.898989898989899,0.8944723618090452
225,215,362,10,88,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
217,224,352,10,87,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
224,216,361,10,87,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
224,216,360,10,86,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
225,217,358,10,86,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
225,217,356,10,85,8,92,0.92,0.9292929292929293,0.9246231155778895
226,218,355,10,85,11,92,0.8932038834951457,0.9292929292929293,0.9108910891089108
225,217,355,10,85,8,92,0.92,0.9292929292929293,0.9246231155778895
226,218,354,10,85,12,92,0.8846153846153846,0.9292929292929293,0.9064039408866995
226,217,355,10,85,10,93,0.9029126213592233,0.9393939393939394,0.9207920792079209
226,217,354,10,85,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
146,328,423,10,71,8,84,0.9130434782608695,0.8484848484848485,0.8795811518324607
228,212,357,10,88,8,92,0.92,0.9292929292929293,0.9246231155778895
228,212,356,10,88,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
229,211,356,10,89,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
196,498,324,44,102,80,77,0.49044585987261147,0.7777777777777778,0.6015625
499,318,438,36,59,13,65,0.8333333333333334,0.6565656565656566,0.7344632768361581
230,208,359,10,91,10,90,0.9,0.9090909090909091,0.9045226130653266
229,210,359,10,90,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
229,209,359,10,91,10,91,0.900990099009901,0.9191919191919192,0.91
229,209,359,10,90,14,93,0.8691588785046729,0.9393939393939394,0.9029126213592232
228,212,360,10,89,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
229,210,359,10,89,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
229,211,359,10,89,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
227,499,52,29,410,5,51,0.9107142857142857,0.5151515151515151,0.6580645161290323
228,212,359,10,88,8,92,0.92,0.9292929292929293,0.9246231155778895
495,259,464,28,66,7,64,0.9014084507042254,0.6464646464646465,0.7529411764705883
488,211,496,34,363,14,55,0.7971014492753623,0.5555555555555556,0.6547619047619048
229,212,360,10,89,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
231,211,359,10,90,9,89,0.9081632653061225,0.898989898989899,0.9035532994923858
451,268,51,24,494,8,46,0.8518518518518519,0.46464646464646464,0.6013071895424835
229,213,360,10,88,8,92,0.92,0.9292929292929293,0.9246231155778895
230,212,360,10,89,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
229,212,360,10,88,8,92,0.92,0.9292929292929293,0.9246231155778895
230,211,360,10,89,10,90,0.9,0.9090909090909091,0.9045226130653266
193,358,389,13,125,12,83,0.8736842105263158,0.8383838383838383,0.8556701030927836
229,213,360,10,89,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
230,212,359,10,89,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
229,213,359,10,89,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
188,183,275,43,490,69,89,0.5632911392405063,0.898989898989899,0.6926070038910506
484,460,63,30,57,110,74,0.40217391304347827,0.7474747474747475,0.5229681978798586
51,65,200,33,82,114,99,0.4647887323943662,1.0,0.6346153846153846
230,213,360,10,89,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
52,278,66,24,500,96,92,0.48936170212765956,0.9292929292929293,0.6411149825783972
230,213,361,10,88,10,90,0.9,0.9090909090909091,0.9045226130653266
229,214,362,10,88,9,91,0.91,0.9191919191919192,0.9145728643216081
219,498,307,25,54,28,76,0.7307692307692307,0.7676767676767676,0.7487684729064039
352,427,417,26,69,9,68,0.8831168831168831,0.6868686868686869,0.7727272727272728
230,211,362,10,90,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
228,214,362,10,89,8,93,0.9207920792079208,0.9393939393939394,0.9300000000000002
229,213,362,10,89,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
231,212,362,10,90,9,91,0.91,0.9191919191919192,0.9145728643216081
230,212,362,10,90,9,91,0.91,0.9191919191919192,0.9145728643216081
81,54,92,1,105,46,88,0.6567164179104478,0.8888888888888888,0.7553648068669527
231,210,360,10,92,11,92,0.8932038834951457,0.9292929292929293,0.9108910891089108
230,211,360,10,91,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
91,241,65,2,64,111,99,0.4714285714285714,1.0,0.6407766990291262
229,213,356,9,89,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
230,212,356,9,90,7,92,0.9292929292929293,0.9292929292929293,0.9292929292929293
232,210,356,9,92,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
232,210,355,9,91,10,88,0.8979591836734694,0.8888888888888888,0.8934010152284263
229,215,356,9,87,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
229,215,356,9,88,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
229,214,356,9,88,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
230,214,356,9,88,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
229,214,355,9,88,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
229,215,355,9,88,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
239,364,490,28,219,30,80,0.7272727272727273,0.8080808080808081,0.7655502392344496
68,493,498,13,479,3,48,0.9411764705882353,0.48484848484848486,0.64
229,217,354,9,88,9,91,0.91,0.9191919191919192,0.9145728643216081
228,217,353,9,88,9,91,0.91,0.9191919191919192,0.9145728643216081
55,480,192,6,471,14,59,0.8082191780821918,0.5959595959595959,0.686046511627907
229,217,356,9,86,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
213,71,239,8,58,64,98,0.6049382716049383,0.98989898989899,0.7509578544061302
229,217,357,9,85,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
441,248,307,41,66,87,86,0.49710982658959535,0.8686868686868687,0.6323529411764706
330,249,423,24,55,31,87,0.7372881355932204,0.8787878787878788,0.8018433179723503
229,218,356,9,85,10,90,0.9,0.9090909090909091,0.9045226130653266
228,218,356,10,85,12,91,0.883495145631068,0.9191919191919192,0.9009900990099011
228,216,359,10,85,11,94,0.8952380952380953,0.9494949494949495,0.9215686274509803
229,217,358,10,85,12,94,0.8867924528301887,0.9494949494949495,0.9170731707317074
53,402,464,10,65,5,70,0.9333333333333333,0.7070707070707071,0.8045977011494253
228,216,353,9,87,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
228,216,355,10,86,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
228,216,356,10,86,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
228,215,357,10,86,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
229,214,359,10,87,9,91,0.91,0.9191919191919192,0.9145728643216081
228,214,359,10,87,9,91,0.91,0.9191919191919192,0.9145728643216081
247,364,319,32,64,81,88,0.5207100591715976,0.8888888888888888,0.6567164179104478
225,218,351,9,88,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
229,209,365,10,90,13,92,0.8761904761904762,0.9292929292929293,0.9019607843137255
227,215,363,10,85,7,89,0.9270833333333334,0.898989898989899,0.9128205128205129
222,220,350,10,87,11,90,0.8910891089108911,0.9090909090909091,0.9
228,210,368,10,90,6,89,0.9368421052631579,0.898989898989899,0.9175257731958762
228,209,368,10,91,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
228,210,367,10,90,6,90,0.9375,0.9090909090909091,0.923076923076923
229,208,368,10,92,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
226,215,366,10,86,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
225,215,366,10,86,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
228,152,283,27,498,65,88,0.5751633986928104,0.8888888888888888,0.6984126984126985
225,215,367,10,86,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
226,215,367,10,86,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
225,216,366,10,86,6,90,0.9375,0.9090909090909091,0.923076923076923
225,216,367,10,86,6,90,0.9375,0.9090909090909091,0.923076923076923
53,498,463,45,482,26,58,0.6904761904761905,0.5858585858585859,0.633879781420765
54,300,499,11,183,18,84,0.8235294117647058,0.8484848484848485,0.8358208955223881
225,217,366,10,84,5,90,0.9473684210526315,0.9090909090909091,0.9278350515463918
226,217,366,10,84,8,92,0.92,0.9292929292929293,0.9246231155778895
107,413,328,10,238,20,79,0.797979797979798,0.797979797979798,0.7979797979797979
224,223,360,10,82,8,90,0.9183673469387755,0.9090909090909091,0.9137055837563451
407,183,331,19,328,31,78,0.7155963302752294,0.7878787878787878,0.75
224,222,362,10,82,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
224,221,363,10,82,6,92,0.9387755102040817,0.9292929292929293,0.934010152284264
225,223,362,10,81,9,91,0.91,0.9191919191919192,0.9145728643216081
299,249,304,49,499,24,64,0.7272727272727273,0.6464646464646465,0.6844919786096257
225,222,363,10,82,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
225,222,364,10,82,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
225,221,364,10,82,6,92,0.9387755102040817,0.9292929292929293,0.934010152284264
51,499,468,35,63,65,76,0.5390070921985816,0.7676767676767676,0.6333333333333333
268,359,252,9,153,17,82,0.8282828282828283,0.8282828282828283,0.8282828282828283
225,222,365,10,82,8,89,0.9175257731958762,0.898989898989899,0.9081632653061225
158,312,486,8,64,2,68,0.9714285714285714,0.6868686868686869,0.8047337278106508
225,223,360,10,81,9,91,0.91,0.9191919191919192,0.9145728643216081
279,76,51,25,121,114,99,0.4647887323943662,1.0,0.6346153846153846
225,222,361,10,80,9,90,0.9090909090909091,0.9090909090909091,0.9090909090909091
225,222,361,10,81,9,91,0.91,0.9191919191919192,0.9145728643216081
497,227,236,23,50,56,80,0.5882352941176471,0.8080808080808081,0.6808510638297872
226,221,362,10,81,5,89,0.9468085106382979,0.898989898989899,0.9222797927461138
226,222,362,10,81,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
226,222,361,10,80,9,91,0.91,0.9191919191919192,0.9145728643216081
226,222,361,10,81,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
60,194,51,33,465,112,98,0.4666666666666667,0.98989898989899,0.6343042071197411
225,223,360,10,80,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
225,224,360,10,80,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
477,55,248,8,57,27,78,0.7428571428571429,0.7878787878787878,0.7647058823529412
224,226,359,10,79,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
224,226,358,10,79,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
367,56,242,15,76,98,95,0.49222797927461137,0.9595959595959596,0.6506849315068493
224,227,353,10,80,10,91,0.900990099009901,0.9191919191919192,0.91
224,227,355,10,80,10,91,0.900990099009901,0.9191919191919192,0.91
224,226,355,10,80,10,91,0.900990099009901,0.9191919191919192,0.91
225,225,356,10,80,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
489,79,249,10,410,13,64,0.8311688311688312,0.6464646464646465,0.7272727272727274
225,225,357,10,80,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
266,478,62,50,67,114,92,0.44660194174757284,0.9292929292929293,0.6032786885245901
225,225,358,10,79,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
225,226,357,10,79,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
88,63,53,9,407,113,99,0.4669811320754717,1.0,0.6366559485530546
225,226,356,10,79,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
155,53,259,48,63,114,99,0.4647887323943662,1.0,0.6346153846153846
425,222,308,8,60,9,70,0.8860759493670886,0.7070707070707071,0.7865168539325842
227,225,360,10,77,9,88,0.9072164948453608,0.8888888888888888,0.8979591836734694
227,224,360,10,79,9,91,0.91,0.9191919191919192,0.9145728643216081
226,224,360,10,79,9,91,0.91,0.9191919191919192,0.9145728643216081
308,330,272,25,495,9,50,0.847457627118644,0.5050505050505051,0.6329113924050632
227,223,360,10,80,9,91,0.91,0.9191919191919192,0.9145728643216081
268,95,393,9,266,20,93,0.8230088495575221,0.9393939393939394,0.8773584905660378
243,188,372,10,116,12,89,0.8811881188118812,0.898989898989899,0.89
221,229,354,10,78,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
497,51,342,36,489,25,56,0.691358024691358,0.5656565656565656,0.6222222222222221
172,180,496,10,328,5,77,0.9390243902439024,0.7777777777777778,0.8508287292817679
221,229,353,10,76,12,93,0.8857142857142857,0.9393939393939394,0.9117647058823529
227,207,367,10,98,8,88,0.9166666666666666,0.8888888888888888,0.9025641025641026
220,230,353,10,76,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
220,231,352,10,76,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
220,232,351,10,75,9,91,0.91,0.9191919191919192,0.9145728643216081
220,232,351,10,76,12,92,0.8846153846153846,0.9292929292929293,0.9064039408866995
221,230,352,10,76,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
495,470,324,18,103,2,32,0.9411764705882353,0.32323232323232326,0.481203007518797
292,491,63,2,51,105,83,0.44148936170212766,0.8383838383838383,0.578397212543554
220,231,353,10,76,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
220,232,352,10,76,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
439,449,332,34,53,16,66,0.8048780487804879,0.6666666666666666,0.7292817679558011
220,232,352,10,77,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
219,233,351,10,76,11,92,0.8932038834951457,0.9292929292929293,0.9108910891089108
57,82,383,43,404,113,99,0.4669811320754717,1.0,0.6366559485530546
53,311,264,3,67,7,74,0.9135802469135802,0.7474747474747475,0.8222222222222223
216,228,351,9,85,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
117,177,246,1,101,5,44,0.8979591836734694,0.4444444444444444,0.5945945945945946
222,223,349,9,81,9,89,0.9081632653061225,0.898989898989899,0.9035532994923858
221,222,351,10,80,8,92,0.92,0.9292929292929293,0.9246231155778895
221,223,350,10,81,13,88,0.8712871287128713,0.8888888888888888,0.88
224,220,358,10,75,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
130,311,271,8,52,31,95,0.753968253968254,0.9595959595959596,0.8444444444444444
224,221,359,10,73,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
138,478,336,2,66,1,35,0.9722222222222222,0.35353535353535354,0.5185185185185186
224,223,357,10,67,9,93,0.9117647058823529,0.9393939393939394,0.9253731343283583
224,224,357,10,65,8,91,0.9191919191919192,0.9191919191919192,0.9191919191919192
224,224,357,10,64,7,91,0.9285714285714286,0.9191919191919192,0.9238578680203046
225,225,356,10,62,7,90,0.9278350515463918,0.9090909090909091,0.9183673469387756
225,225,356,10,61,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
342,370,484,43,51,36,75,0.6756756756756757,0.7575757575757576,0.7142857142857142
225,224,356,10,61,10,92,0.9019607843137255,0.9292929292929293,0.9154228855721392
500,52,50,19,493,25,55,0.6875,0.5555555555555556,0.6145251396648045
225,224,356,10,60,9,92,0.9108910891089109,0.9292929292929293,0.9199999999999999
225,224,356,10,59,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
52,375,492,43,82,108,96,0.47058823529411764,0.9696969696969697,0.6336633663366337
225,225,356,10,59,11,93,0.8942307692307693,0.9393939393939394,0.9162561576354681
214,351,188,44,485,26,69,0.7263157894736842,0.696969696969697,0.7113402061855671
66,324,492,13,468,27,79,0.7452830188679245,0.797979797979798,0.7707317073170732
